"Что такое JavaScript и чем отличается от C#?";"Язык для веб-страниц; интерпретируемый (не компилируемый), динамическая типизация, прототипное наследование"
"Как объявить переменную в JS?";"let x = 5; (блочная область), var y = 10; (функциональная область), const z = 15; (константа)"
"Почему в JS три способа объявления переменных?";"var - устаревший (hoisting), let - современный, const - для неизменяемых значений. В C# только один способ (тип имя)"
"Что такое hoisting?";"Поднятие переменных/функций в начало области видимости (для var). Пример: console.log(x); var x = 5; // undefined"
"Как работают типы данных в JS?";"Динамическая типизация. Примитивы: number, string, boolean, null, undefined, symbol, bigint. Объекты - остальное"
"Что такое NaN?";"Not-a-Number (результат ошибочных операций). Важно: typeof NaN === 'number'"
"Как проверить тип переменной?";"typeof переменной (но null → 'object'), instanceof для объектов, Array.isArray() для массивов"
"Что такое строгое равенство (===)?";"Сравнение без приведения типов (1 !== '1'). В C# == ведет себя как JS ==="
"Как работают объекты в JS?";"Коллекции свойств { key: value }. Нет классов в классическом понимании (до ES6)"
"Что такое this в JS?";"Контекст выполнения. В C# - всегда текущий экземпляр класса. В JS зависит от вызова функции"
"Как создаются функции в JS?";"function declaration (поднимается), expression (let fn = function(){}), стрелочные (нет своего this)"
"Что такое замыкание (closure)?";"Функция + её лексическое окружение. Позволяет запоминать переменные между вызовами"
"Как работают методы объектов?";"Функции внутри объекта. this ссылается на объект. Потеря контекста - частая проблема"
"Что такое call/apply?";"Методы для явного указания this: fn.call(context, arg1), fn.apply(context, [arg1, arg2])"
"Как работает bind()?";"Создает новую функцию с привязанным this: let boundFn = originalFn.bind(context)"
"Чем стрелочные функции отличаются от обычных?";"Нет своего this (берут из внешней области), нельзя использовать как конструктор"
"Что такое IIFE?";"Немедленно вызываемая функция: (function(){})() - изолирует область видимости"
"Как работают массивы в JS?";"Тип object. Методы: push/pop, shift/unshift, slice/splice, map/filter/reduce"
"Что такое прототипное наследование?";"Объекты наследуют свойства через [[Prototype]]. В C# - классическое наследование классов"
"Как создать объект с прототипом?";"Object.create(proto) или через конструктор функции (new Fn())"
"Что такое классы в ES6?";"Синтаксический сахар над прототипами. class MyClass { constructor() {} method() {} }"
"Как работают промисы (Promises)?";"Обработка асинхронных операций: new Promise((resolve, reject) => {...})"
"Что такое callback hell?";"Вложенные колбэки, усложняющие код. Решается промисами/async-await"
"Как работает событийная модель JS?";"Event loop обрабатывает очередь событий. Блокирующий код = заморозка интерфейса"
"Что такое BOM и DOM?";"BOM - браузерные объекты (window), DOM - представление HTML-документа"
"Как выбрать элемент DOM?";"document.getElementById(), querySelector(), getElementsByClassName()"
"Как обрабатывать события?";"element.addEventListener('click', handler). В C# - делегаты/события"
"Что такое делегирование событий?";"Обработка на родителе через event.target. Эффективнее множественных обработчиков"
"Как работают таймеры?";"setTimeout(fn, delay) - однократно, setInterval(fn, delay) - повторно"
"Что такое AJAX?";"Асинхронные HTTP-запросы через XMLHttpRequest или fetch()"
"Как работает JSON в JS?";"JSON.stringify(obj) → строка, JSON.parse(string) → объект. Аналог сериализации в C#"
"Что такое модули в JS?";"До ES6 - через IIFE/AMD. Теперь import/export. В C# - пространства имён (namespace)"
"Как отлаживать JS-код?";"debugger; statement, точки останова в DevTools, console.log()"
"Что такое strict mode?";"'use strict'; - более строгий синтаксис (ошибки вместо молчаливого исправления)"
"Как избегать типичных ошибок в JS?";"1. Использовать === 2. Проверять null/undefined 3. Понимать this 4. Учитывать асинхронность"
