"Как работает `bind()`?";"Фиксирует `this` и возвращает новую функцию"
"Что делает стрелочная функция?";"Упрощает синтаксис и не имеет собственного `this`"
"Как работает `async/await`?";"Позволяет писать асинхронный код как синхронный"
"Что делает `Promise`?";"Представляет отложенное значение"
"Разница между `let`, `var` и `const`?";"let/const — блочная область, var — функциональная"
"Как создать объект?";"const obj = {}"
"Как перебрать массив?";"forEach, map, for/of"
"Что делает `map()`?";"Преобразует каждый элемент массива"
"Как проверить тип переменной?";"typeof variable"
"Что такое замыкание?";"Функция, «помнящая» своё окружение"
"Как работает `this`?";"Зависит от контекста вызова функции"
"Какой результат у `[] + {}`?";""[object Object]""
"Как работает оператор `===`?";"Сравнивает по значению и типу"
"Что такое DOM?";"Объектная модель документа"
"Как добавить элемент в DOM?";"document.createElement(), appendChild()"
"Как работает fetch()?";"Выполняет HTTP-запрос, возвращает Promise"
"Что делает JSON.stringify()?";"Преобразует объект в JSON-строку"
"Как обработать ошибку?";"try { ... } catch (e) { ... }"
"Что делает setTimeout()?";"Выполняет функцию с задержкой"
"Что такое event bubbling?";"Событие распространяется от вложенного элемента вверх"
