"Что делает `__init__` в классе?","Инициализирует экземпляр объекта"
"Как импортировать модуль в Python?","import module_name"
"Что делает `if __name__ == \"__main__\":`?","Запускает код при прямом запуске файла"
"Что такое list comprehension?","Краткий синтаксис создания списков"
"Как создать виртуальное окружение?","python -m venv venv"
"Как установить пакет через pip?","pip install package_name"
"Что такое словарь в Python?","Коллекция пар ключ:значение"
"Как отфильтровать список?","С помощью list comprehension или filter()"
"Что делает декоратор?","Оборачивает функцию, добавляя функциональность"
"Как создать класс?","class MyClass:"
"Что такое self?","Ссылка на текущий объект в классе"
"Как прочитать файл?","with open('file.txt') as f: content = f.read()"
"Что такое try/except?","Обработка исключений"
"Что делает функция `range()`?","Генерирует последовательность чисел"
"Как объединить списки?","Через + или метод extend()"
"Что такое генератор?","Итератор, возвращаемый функцией с yield"
"Как создать анонимную функцию?","lambda x: x + 1"
"Как получить уникальные элементы списка?","set(my_list)"
"Что такое модуль os?","Для работы с операционной системой"
"Как создать REST API?","Через Flask или FastAPI"
